Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202601733,APP1002490,REG-ZVAXC,Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,120.4,Yes,no,No,Yes,Female,No,20,No,0,5,9,4,12.0,1,0,5,6,5,13.4,0,9.4,-0.8,-3.12,Graduate
ST202601962,APP1001891,REG-CLSPJ,Single,Transfer,1,Informatics Engineering,Daytime,Secondary education,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,133.5,Yes,No,No,Yes,Male,No,21,No,0,5,10,5,13.0,0,0,5,10,5,12.6,0,9.4,-0.8,-3.12,Graduate
ST202601848,APP1000494,REG-L8HKE,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,140.0,No,No,No,Yes,Male,No,20,no,0,6,12,3,11.5,0,0,6,12,3,13.666666666666666,0,12.4,0.5,1.79,Dropout
ST202604123,APP1000613,REG-Q9HEY,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,129.9,No,No,No,Yes,Female,NO,19,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202600383,APP1002240,REG-TB69C,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",122.1,Yes,No,No,Yes,Female,FALSE,18,No,0,7,8,7,14.13125,0,0,8,8,8,13.98375,0,15.5,2.8,-4.06,Graduate
ST202602875,APP1000403,REG-THQB1,Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Intermediate Level Technicians and Professions,126.8,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.44285714285714,0,0,8,9,8,13.744444444444444,0,16.2,0.3,-0.92,Graduate
ST202602301,APP1004017,REG-TUT5J,Single,1st phase - general contingent,5,Basic Education,Daytime,Secondary education,128.0,Portuguese,,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120.3,Yes,No,Yes,No,Female,No,20,NO,0,6,9,3,11.666666666666666,0,0,6,10,2,11.0,0,10.8,1.4,1.74,Dropout
ST202603370,APP1004341,REG-A7QY8,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,124.6,Yes,No,No,Yes,Female,No,19,No,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate
ST202600060,APP1003071,REG-ZDH9P,Single,3rd phase - general contingent,1,Nursing,Daytime,Secondary education,146.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Administrative staff,,127.0,No,No,No,Yes,M,No,19,No,0,8,8,7,13.614285714285714,0,0,8,8,7,13.614285714285714,0,12.7,3.7,-1.7,Graduate
ST202604235,APP1002483,REG-D1SOF,SINGLE,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,157.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Administrative staff,Unskilled Workers,138.8,No,No,No,Yes,Male,No,18,No,0,8,8,7,13.55714285714286,0,0,8,8,7,13.55714285714286,0,12.7,3.7,-1.7,Graduate
ST202602036,APP1004095,REG-SA8E8,Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,140.0,No,No,No,Yes,F,No,21,No,2,6,9,6,13.142857142857142,0,0,6,9,6,12.166666666666666,0,13.9,-0.3,0.79,Graduate
ST202603959,APP1004284,REG-IXOUN,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,160.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",144.3,No,No,No,Yes,Male,No,22,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
ST202602784,APP1000113,REG-RR06N,Single,Change of course,1,Veterinary Nursing,Daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",100.0,No,No,No,Yes,Female,no,21,No,0,6,11,4,11.75,0,0,6,12,3,13.666666666666666,0,13.9,-0.3,0.79,Enrolled
ST202600162,APP1003193,REG-VFTLH,single,Over 23 years old,1,Agronomy,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,,No,No,No,Yes,Male,No,34,No,0,6,15,5,13.333333333333334,0,0,6,15,5,12.4,0,12.4,0.5,1.79,Graduate
ST202600658,APP1002869,REG-EJQ0A,Single,Change of course,1,Communication Design,Daytime,Secondary education,115.0,Portuguese,Other - 11th Year of Schooling,Other - 11th Year of Schooling,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,115.0,No,No,Yes,Yes,MALE,No,21,No,5,11,12,9,11.77777777777778,0,3,8,11,3,13.666666666666666,0,15.5,2.8,-4.06,Dropout
ST202601870,APP1002481,REG-T6AK3,Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,166.0,Yes,No,Yes,Yes,Male,N,20,No,0,5,7,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled
ST202600351,APP1001917,REG-ITTC9,Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",121.3,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,12.464285714285714,0,0,8,8,7,12.464285714285714,0,10.8,1.4,1.74,Graduate
ST202601124,APP1001453,REG-J6937,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.5,Yes,No,No,Yes,Female,Yes,20,No,0,7,8,6,12.396666666666668,0,0,8,9,7,12.94285714285714,0,11.1,0.6,2.02,Graduate
ST202604097,APP1003736,REG-CRBKN,Single,1st phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",129.6,Yes,No,No,Yes,Male,No,18,No,0,6,6,6,12.833333333333334,0,0,6,8,6,12.833333333333334,0,12.4,0.5,1.79,Graduate
ST202602263,APP1002071,REG-AY37V,Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Unknown,Unknown,Student,Student,97.5,Yes,No,No,Yes,Male,No,29,N,0,6,10,0,0.0,1,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout
ST202600782,APP1004302,REG-OFLVM,Single,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,156.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,132.3,Yes,No,No,Yes,Male,Yes,18,No,0,7,7,6,13.266666666666666,0,0,7,7,6,13.266666666666666,0,7.6,2.6,0.32,Graduate
ST202602861,APP1002784,REG-J6CLP,Single,2nd phase - general contingent,6,Nursing,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,130.7,Yes,No,No,Yes,Male,Yes,18,No,0,7,7,7,12.718571428571428,0,0,8,11,8,12.805555555555555,0,11.1,0.6,2.02,Dropout
ST202601282,APP1001231,REG-G42RL,Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,144.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,126.8,Yes,No,Yes,No,FEMALE,No,18,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202602011,APP1002950,REG-AMOX9,Single,2nd phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,138.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.3,Yes,No,No,Yes,Female,No,19,N,0,5,15,3,14.0,3,0,5,10,4,11.75,1,9.4,-0.8,-3.12,Enrolled
ST202601535,APP1002323,REG-QEW9V,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,128.5,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,Graduate
ST202600302,APP1002979,REG-K8DJK,Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,131.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,125.4,Yes,No,No,Yes,Female,No,19,NO,0,7,13,5,12.5,0,0,8,14,7,12.166666666666666,0,15.5,2.8,-4.06,Graduate
ST202602566,APP1001294,REG-XV3DG,Single,Holders of other higher courses,1,Management (evening attendance),Evening,Higher education - degree (1st cycle),120.0,Portuguese,Higher Education - Master (2nd cycle),Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.0,No,No,No,Yes,Female,no,27,No,0,5,5,5,15.2,0,0,5,6,5,14.0,0,11.1,0.6,2.02,Enrolled
ST202600241,APP1003610,REG-D0EWR,Single,Holders of other higher courses,1,Social Service,Daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,,125.1,No,N,Yes,No,Female,No,27,No,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202602825,APP1003815,REG-MZKDU,Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,136.6,Yes,No,No,Yes,MALE,No,19,No,0,6,7,5,11.4,0,0,6,10,3,11.0,3,7.6,2.6,0.32,Enrolled
ST202603492,APP1002265,REG-T3O4G,single,Holders of other higher courses,1,Agronomy,Daytime,Higher education - degree,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",120.0,Yes,No,No,Yes,Male,No,27,No,14,18,21,18,11.421052631578949,0,10,13,16,13,11.076923076923077,1,15.5,2.8,-4.06,Graduate
ST202600508,APP1004064,REG-WOL5U,single,2nd phase - general contingent,4,Nursing,Daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",126.4,Yes,No,No,Yes,Male,Yes,18,No,0,7,7,7,13.462857142857144,0,0,8,8,8,13.90625,0,11.1,0.6,2.02,Graduate
ST202603616,APP1003024,REG-H5LP9,Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,115.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",119.6,Yes,No,No,Yes,F,Yes,22,No,0,6,11,5,12.0,0,0,6,11,5,11.0,0,7.6,2.6,0.32,Dropout
ST202601564,APP1002754,REG-Z0MB0,SINGLE,Over 23 years old,1,Animation and Multimedia Design,Daytime,Secondary education,110.0,Portuguese,Other - 11th Year of Schooling,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,100.0,Yes,No,No,Yes,Male,No,27,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202601521,APP1003542,REG-TEGNT,Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",,120.0,No,No,No,Yes,Male,No,39,no,0,5,9,0,0.0,0,0,5,5,1,10.0,0,12.7,3.7,-1.7,Dropout
ST202603786,APP1002944,REG-EVF74,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",152.1,No,No,No,Yes,Male,No,28,No,0,5,13,2,11.0,0,0,5,12,1,12.0,0,11.1,0.6,2.02,Dropout
ST202603934,APP1001160,REG-O8LLI,DIVORCED,Over 23 years old,1,Oral Hygiene,Daytime,Secondary education,160.0,Portuguese,,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,130.0,No,No,No,Yes,Female,No,25,No,0,7,14,7,11.95,0,0,8,15,7,12.042857142857144,0,12.7,3.7,-1.7,Enrolled
ST202603784,APP1001446,REG-U486D,Single,Holders of other higher courses,1,Animation and Multimedia Design,Daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,130.0,No,no,No,No,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202601343,APP1002196,REG-RJ0MQ,Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.1,Yes,No,No,Yes,Male,No,20,No,0,6,12,4,14.75,0,0,6,7,4,12.25,0,9.4,-0.8,-3.12,Graduate
ST202600349,APP1001949,REG-IMU7J,Married,Change of course,1,Veterinary Nursing,Daytime,Secondary education,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120.0,No,no,No,Yes,Male,No,21,No,0,5,11,0,0.0,2,0,5,11,3,11.666666666666666,1,9.4,-0.8,-3.12,Enrolled
ST202600135,APP1003487,REG-VVY32,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,116.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,110.8,Yes,No,No,Yes,Female,no,18,No,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
ST202603579,APP1002410,REG-MYLLW,single,1st phase - general contingent,4,Animation and Multimedia Design,Daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",124.2,Yes,No,No,No,Female,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202603202,APP1004420,REG-OO4UW,Single,2nd phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,141.0,Portuguese,Unknown,Unknown,Student,Student,136.1,No,No,No,Yes,Female,No,24,No,0,6,7,6,12.833333333333334,0,0,6,8,6,12.0,0,7.6,2.6,0.32,Graduate
ST202603711,APP1004003,REG-DHMGO,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,148.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,136.5,No,No,No,Yes,Female,No,19,No,0,6,13,6,15.307692307692308,0,0,6,9,6,14.0,0,15.5,2.8,-4.06,Graduate
ST202603576,APP1003309,REG-EMALW,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,134.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,128.4,Yes,No,No,Yes,F,Yes,19,No,0,5,7,5,12.5,0,0,5,8,5,12.714285714285714,0,10.8,1.4,1.74,Graduate
ST202603030,APP1000934,REG-MY79K,Single,1st phase - general contingent,2,Advertising and Marketing Management,Daytime,Secondary education,143.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",131.8,Yes,No,No,Yes,Female,TRUE,18,No,0,6,8,6,13.571428571428571,0,0,6,6,5,12.8,0,12.4,0.5,1.79,Enrolled
ST202601163,APP1000161,REG-O8EL5,Single,1st phase - general contingent,3,Veterinary Nursing,Daytime,Secondary education,135.0,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Administrative staff,Intermediate Level Technicians and Professions,121.0,Yes,No,No,Yes,Female,No,18,N,0,5,14,3,12.333333333333334,2,0,5,8,5,11.6,0,9.4,-0.8,-3.12,Enrolled
ST202602223,APP1003990,REG-EH6M3,Single,3rd phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,146.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,Yes,No,No,Yes,Male,No,18,No,0,5,5,1,16.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202601852,APP1002385,REG-JOTCG,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",160.0,Yes,No,No,No,Male,No,30,NO,4,9,18,6,11.833333333333334,0,1,8,21,4,11.0,0,15.5,2.8,-4.06,Dropout
ST202601891,APP1000735,REG-LL3CH,SINGLE,1st phase - general contingent,2,Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",138.8,Yes,No,No,Yes,Female,No,19,No,0,7,7,6,12.766666666666666,0,0,7,7,6,12.766666666666666,0,7.6,2.6,0.32,Graduate
ST202604031,APP1000501,REG-HD9GN,Single,1st phase - general contingent,1,Management,Daytime,Secondary education,118.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,111.0,No,No,No,No,Male,No,21,No,0,5,7,2,11.0,0,0,5,9,3,11.428571428571429,0,10.8,1.4,1.74,Dropout
ST202601781,APP1003782,REG-NI7ZF,Single,2nd phase - general contingent,5,Management,Daytime,Secondary education,131.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.9,No,No,No,Yes,Female,Yes,18,No,0,5,7,5,11.6,0,0,5,11,5,11.4,4,16.2,0.3,-0.92,Graduate
ST202603859,APP1003317,REG-V3B29,SINGLE,Holders of other higher courses,1,Veterinary Nursing,Daytime,Higher education - degree (1st cycle),130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,130.0,Yes,No,No,Yes,Female,No,22,No,0,6,7,6,17.0,0,0,6,7,6,16.285714285714285,0,11.1,0.6,2.02,Graduate
ST202601160,APP1002846,REG-I2XIP,single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.1,Yes,No,No,Yes,Male,Yes,18,No,0,6,6,6,13.0,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Dropout
ST202601631,APP1002926,REG-MZV1S,Single,Change of course,1,Social Service (evening attendance),Evening,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",125.0,No,NO,No,Yes,Male,No,24,No,0,6,13,0,0.0,3,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202601640,APP1003472,REG-JLHAP,Single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,100.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,106.0,No,No,No,Yes,Male,FALSE,21,No,2,7,7,5,11.8,0,5,9,9,5,11.0,0,12.4,0.5,1.79,Dropout
ST202601005,APP1002879,REG-LPNL6,Single,Change of course,1,Biofuel Production Technologies,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Administrative staff,140.0,No,No,Yes,Yes,Male,No,35,No,3,10,18,6,12.666666666666666,0,1,9,11,3,12.0,2,16.2,0.3,-0.92,Dropout
ST202604309,APP1001835,REG-HERTQ,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,128.0,No,No,No,Yes,Female,Yes,18,NO,0,7,9,7,13.055555555555555,0,0,8,8,8,15.8125,0,13.9,-0.3,0.79,Graduate
ST202602589,APP1002160,REG-YI2XO,single,Change of course,1,Informatics Engineering,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Specialists in Intellectual and Scientific Activities,128.0,No,No,Yes,No,Male,No,27,No,0,5,5,0,0.0,0,0,5,7,0,0.0,0,13.9,-0.3,0.79,Enrolled
ST202601609,APP1003774,REG-YMR9V,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,127.3,Yes,No,Yes,Yes,Female,No,20,No,0,6,6,6,12.166666666666666,0,0,6,7,6,11.666666666666666,0,9.4,-0.8,-3.12,Graduate
ST202602476,APP1000288,REG-AP33G,Married,Change of course,2,Basic Education,Daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,General Course of Administration and Commerce,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",124.2,No,No,No,Yes,Female,NO,31,No,3,7,8,6,13.666666666666666,0,1,6,8,5,13.5,0,9.4,-0.8,-3.12,Dropout
ST202604032,APP1004239,REG-KMXD6,Single,1st phase - general contingent,1,Management,Daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",98.0,Yes,No,No,Yes,Male,No,23,NO,0,5,8,4,11.4,0,0,5,7,4,11.0,0,11.1,0.6,2.02,Graduate
ST202600356,APP1001834,REG-KD1OT,Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,140.1,Yes,No,No,Yes,Female,No,20,No,6,12,12,12,13.25,0,4,11,14,11,14.333333333333334,0,8.9,1.4,3.51,Graduate
